team_name,match_played,matches_won,win_percentage,total_batting_run,total_balls_faced,run_rate,total_bowling_run,total_overs_bowled,economy_rate,total_4s,total_6s,highest_score,lowest_score,powerplay_batting_run,powerplay_count,powerplay_wickets,powerplay_bowling_run,powerplay_boundary_count,powerplay_dot_count,average_powerplay_score,death_runs,death_count,average_death_score
Royal Challengers Bengaluru,252,123,48.80952380952381,40622,28943,8.421103548353662,40000,4831.300000000001,8.279345103802287,3474,1653,263,49,11795,252,362,11843,1799,4193,46.80555555555556,9028,233,38.74678111587983
Kolkata Knight Riders,251,131,52.191235059760956,39331,28385,8.313757266161705,38335,4780.0,8.019874476987448,3592,1495,272,67,11941,249,337,11718,1870,4189,47.95582329317269,8053,224,35.950892857142854
Punjab Kings,246,112,45.52845528455285,39600,28429,8.357662949804777,39243,4687.200000000001,8.37237583205325,3523,1515,262,68,11795,246,334,11675,1824,4084,47.947154471544714,8274,230,35.97391304347826
Chennai Super Kings,237,138,58.22784810126582,38629,27626,8.389705350032578,36540,4588.500000000002,7.963386727688784,3291,1509,246,71,10991,237,362,11028,1667,4013,46.37552742616034,9061,228,39.74122807017544
Delhi Capitals,250,115,46.0,39196,28708,8.192002229343736,39369,4811.500000000002,8.182271640860435,3606,1352,257,66,12069,250,359,11608,1890,4158,48.276,8184,234,34.97435897435897
Rajasthan Royals,219,112,51.141552511415526,34747,25316,8.235187233370201,34459,4229.500000000002,8.147298735075065,3168,1237,226,58,10226,219,343,10017,1630,3787,46.694063926940636,7281,205,35.517073170731706
Mumbai Indians,261,144,55.172413793103445,42176,30250,8.365487603305784,40482,5045.1,8.02402330974609,3752,1685,247,68,12225,260,393,11560,1871,4585,47.01923076923077,9598,246,39.016260162601625
Sunrisers Hyderabad,257,117,45.525291828793776,40534,29805,8.159838953195772,39982,4957.0,8.065765584022595,3465,1442,287,72,12354,256,365,11538,1865,4498,48.2578125,8776,244,35.967213114754095
Kochi Tuskers Kerala,14,6,42.857142857142854,1901,1510,7.55364238410596,1940,259.1,7.48745658047086,178,53,184,74,680,14,22,568,108,259,48.57142857142857,337,11,30.636363636363637
Pune Warriors,45,12,26.666666666666668,6358,5275,7.231848341232228,6722,885.1,7.594622076601514,537,196,192,99,1895,45,57,1930,275,827,42.111111111111114,1360,44,30.90909090909091
Rising Pune Supergiant,30,15,50.0,4533,3364,8.085017835909632,4481,570.0,7.86140350877193,375,157,195,78,1423,30,46,1406,211,489,47.43333333333333,998,26,38.38461538461539
Gujarat Lions,30,13,43.333333333333336,4862,3439,8.482698458854319,5016,574.3000000000001,8.734111091763886,469,155,208,104,1559,30,49,1479,246,473,51.96666666666667,921,28,32.892857142857146
Lucknow Super Giants,43,24,55.81395348837209,7510,5151,8.747815958066395,7290,834.5000000000001,8.735769922109046,602,332,257,82,2080,44,57,2285,313,670,47.27272727272727,1718,42,40.904761904761905
Gujarat Titans,45,28,62.22222222222222,7757,5270,8.831499051233397,7373,856.4000000000001,8.609294722092478,713,271,233,89,2184,45,77,2265,337,764,48.53333333333333,1823,44,41.43181818181818
